Country Name,iso3c,year,total_building_stock_m2,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
Suriname,SUR,2038,7481843.596927125,0.0026687324009405287,0.1042473594117394,0,19967.038425888848,779962.4385112831,0
Suriname,SUR,2039,7711695.193723777,0.0026687324009405287,0.1042473594117394,0,20580.450829667992,803923.8605339059,0
Suriname,SUR,2040,7948608.119170985,0.0026687324009405287,0.1042473594117394,0,21212.708030010563,828621.4074222876,0
Suriname,SUR,2041,8191437.640041696,0.0026687324009405287,0.1042473594117394,0,21860.75504026309,853935.743760277,0
Suriname,SUR,2042,8441685.588808492,0.0026687324009405287,0.1042473594117394,0,22528.599849405946,880023.4316174198,0
Suriname,SUR,2043,8699578.598016921,0.0026687324009405287,0.1042473594117394,0,23216.847279056536,906908.096838146,0
Suriname,SUR,2044,8965350.223823763,0.0026687324009405287,0.1042473594117394,0,23926.1206280979,934614.0870350741,0
Suriname,SUR,2045,9239241.157512955,0.0026687324009405287,0.1042473594117394,0,24657.062237158098,963166.4936389882,0
Suriname,SUR,2046,9513822.472072866,0.0026687324009405287,0.1042473594117394,0,25389.846288016975,991790.8706256631,0
Suriname,SUR,2047,9796564.077832028,0.0026687324009405287,0.1042473594117394,0,26144.407972400404,1021265.9364218909,0
Suriname,SUR,2048,10087708.490755394,0.0026687324009405287,0.1042473594117394,0,26921.3945005218,1051616.972676633,0
Suriname,SUR,2049,10387505.434147915,0.0026687324009405287,0.1042473594117394,0,27721.472317056352,1082870.0123850137,0
Suriname,SUR,2050,10696212.052849744,0.0026687324009405287,0.1042473594117394,0,28545.327672770716,1115051.8622176063,0
Slovak Republic,SVK,2020,116541041.77931033,0.003033619698281817,0.0720776120734083,0.03947107327829502,353541.2,8400000,4600000
Slovak Republic,SVK,2021,118374670.93649825,0.003033619698281817,0.0720776120734083,0.03947107327829502,359103.7335305892,8532163.611078283,4672375.310828582
Slovak Republic,SVK,2022,120237149.98068525,0.003033619698281817,0.0720776120734083,0.03947107327829502,364753.78664667194,8666406.653120045,4745889.357660976
Slovak Republic,SVK,2023,122128932.82916239,0.003033619698281817,0.0720776120734083,0.03947107327829502,370492.73636068386,8802761.843399707,4820560.057099839
Slovak Republic,SVK,2024,124050480.54104798,0.003033619698281817,0.0720776120734083,0.03947107327829502,376321.98135064833,8941262.413957542,4896405.607643415
Slovak Republic,SVK,2025,126002261.42965516,0.003033619698281817,0.0720776120734083,0.03947107327829502,382242.9423010571,9081942.119698863,4973444.4941208055
Slovak Republic,SVK,2026,129456441.18299617,0.003033619698281817,0.0720776120734083,0.03947107327829502,392721.6100421986,9330911.147991996,5109784.676281331
Slovak Republic,SVK,2027,133005312.55244796,0.003033619698281817,0.0720776120734083,0.03947107327829502,403487.5361352359,9586705.321857769,5249862.438160206
Slovak Republic,SVK,2028,136651471.37922385,0.003033619698281817,0.0720776120734083,0.03947107327829502,414548.5953752074,9849511.743332155,5393780.240396179
Slovak Republic,SVK,2029,140397584.6659754,0.003033619698281817,0.0720776120734083,0.03947107327829502,425912.8784338921,10119522.643597674,5541643.352446344
Slovak Republic,SVK,2030,144246392.52758622,0.003033619698281817,0.0720776120734083,0.03947107327829502,437588.69777777663,10396935.523591943,5693559.929586063
Slovak Republic,SVK,2031,147275433.1197215,0.003033619698281817,0.0720776120734083,0.03947107327829502,446777.65498497343,10615261.536346477,5813119.412761165
Slovak Republic,SVK,2032,150368080.75774565,0.003033619698281817,0.0720776120734083,0.03947107327829502,456159.5717795282,10838172.193079723,5935189.534305562
Slovak Republic,SVK,2033,153525671.13068742,0.003033619698281817,0.0720776120734083,0.03947107327829502,465738.5001339894,11065763.767067349,6059823.015298786
Slovak Republic,SVK,2034,156749567.97580773,0.003033619698281817,0.0720776120734083,0.03947107327829502,475518.577108575,11298134.553234614,6187073.683914193
Slovak Republic,SVK,2035,160041163.66758624,0.003033619698281817,0.0720776120734083,0.03947107327829502,485504.02663793386,11535384.910609128,6316996.498666903
