Country,iso3c,Year,extraction_5.4
Tonga,TON,2027,805964.2771644071
Tonga,TON,2028,823056.3679336384
Tonga,TON,2029,840148.4587028697
Tonga,TON,2030,857240.549472101
Tonga,TON,2031,874332.6402413324
Tonga,TON,2032,891424.7310105637
Tonga,TON,2033,908516.8217797875
Tonga,TON,2034,925608.9125490189
Tonga,TON,2035,942701.0033182502
Tonga,TON,2036,959793.0940874815
Tonga,TON,2037,976885.1848567128
Tonga,TON,2038,993977.2756259441
Tonga,TON,2039,1011069.3663951755
Tonga,TON,2040,1028161.4571644068
Tonga,TON,2041,1045253.5479336381
Tonga,TON,2042,1062345.6387028694
Tonga,TON,2043,1079437.7294720933
Tonga,TON,2044,1096529.8202413246
Tonga,TON,2045,1113621.911010556
Tonga,TON,2046,1130714.0017797872
Tonga,TON,2047,1147806.0925490186
Tonga,TON,2048,1164898.1833182499
Tonga,TON,2049,1181990.2740874812
Tonga,TON,2050,1199082.3648567125
Trinidad and Tobago,TTO,2021,5296421.389803946
Trinidad and Tobago,TTO,2022,5342463.842202127
Trinidad and Tobago,TTO,2023,5388506.294600323
Trinidad and Tobago,TTO,2024,5434548.746998519
Trinidad and Tobago,TTO,2025,5480591.1993967
Trinidad and Tobago,TTO,2026,5526633.6517948955
Trinidad and Tobago,TTO,2027,5572676.1041930765
Trinidad and Tobago,TTO,2028,5618718.556591272
Trinidad and Tobago,TTO,2029,5664761.008989468
Trinidad and Tobago,TTO,2030,5710803.461387649
Trinidad and Tobago,TTO,2031,5756845.913785845
Trinidad and Tobago,TTO,2032,5802888.366184026
Trinidad and Tobago,TTO,2033,5848930.818582222
Trinidad and Tobago,TTO,2034,5894973.270980418
Trinidad and Tobago,TTO,2035,5941015.723378599
Trinidad and Tobago,TTO,2036,5987058.175776795
Trinidad and Tobago,TTO,2037,6033100.6281749755
Trinidad and Tobago,TTO,2038,6079143.080573171
Trinidad and Tobago,TTO,2039,6125185.532971367
Trinidad and Tobago,TTO,2040,6171227.985369548
Trinidad and Tobago,TTO,2041,6217270.437767744
Trinidad and Tobago,TTO,2042,6263312.890165925
Trinidad and Tobago,TTO,2043,6309355.342564121
Trinidad and Tobago,TTO,2044,6355397.794962317
Trinidad and Tobago,TTO,2045,6401440.247360498
Trinidad and Tobago,TTO,2046,6447482.699758694
Trinidad and Tobago,TTO,2047,6493525.152156875
Trinidad and Tobago,TTO,2048,6539567.60455507
Trinidad and Tobago,TTO,2049,6585610.056953266
Trinidad and Tobago,TTO,2050,6631652.509351447
