,Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2,total_building_stock_m2,,
162,Armenia,ARM,2643414,2044,3.54,85.4741308,85474130804,3.54,746727.1186,32334.74999,32.33474999,85474130.8,170948261.6,,
163,Armenia,ARM,2654030,2043,3.54,83.64063204,83640632041,3.54,749725.9887,31514.57672,31.51457672,83640632.04,167281264.1,,
164,Armenia,ARM,2664340,2042,3.54,81.84646351,81846463514,3.54,752638.4181,30719.22634,30.71922634,81846463.51,163692927,,
165,Armenia,ARM,2674265,2041,3.54,80.09078155,80090781553,3.54,755442.0904,29948.70798,29.94870798,80090781.55,160181563.1,,
166,Armenia,ARM,2683809,2040,3.54,78.37276059,78372760585,3.54,758138.1356,29202.06341,29.20206341,78372760.59,156745521.2,,
167,Armenia,ARM,2693021,2039,3.54,76.26115887,76261158875,3.54,760740.3955,28318.07063,28.31807063,76261158.87,152522317.7,,
168,Armenia,ARM,2701923,2038,3.54,74.20645017,74206450168,3.54,763255.0847,27464.30974,27.46430974,74206450.17,148412900.3,,
169,Armenia,ARM,2710501,2037,3.54,72.20710159,72207101595,3.54,765678.2486,26639.76202,26.63976202,72207101.59,144414203.2,,
170,Armenia,ARM,2718722,2036,3.54,70.26162158,70261621583,3.54,768000.565,25843.62122,25.84362122,70261621.58,140523243.2,,
171,Armenia,ARM,2726573,2035,3.54,68.36855875,68368558748,3.54,770218.3616,25074.90493,25.07490493,68368558.75,136737117.5,,
172,Armenia,ARM,2734049,2034,3.54,66.13347307,66133473073,3.54,772330.226,24188.83973,24.18883973,66133473.07,132266946.1,,
173,Armenia,ARM,2741125,2033,3.54,63.97145619,63971456190,3.54,774329.096,23337.66471,23.33766471,63971456.19,127942912.4,,
174,Armenia,ARM,2747753,2032,3.54,61.88011935,61880119354,3.54,776201.4124,22520.26269,22.52026269,61880119.35,123760238.7,,
175,Armenia,ARM,2753925,2031,3.54,59.85715191,59857151913,3.54,777944.9153,21735.21498,21.73521498,59857151.91,119714303.8,,
176,Armenia,ARM,2759528,2030,3.54,57.90031875,57900318754,3.54,779527.6836,20981.96458,20.98196458,57900318.75,115800637.5,,
177,Armenia,ARM,2764470,2029,3.54,55.65456623,55654566230,3.54,780923.7288,20132.09267,20.13209267,55654566.23,111309132.5,,
178,Armenia,ARM,2768742,2028,3.54,53.49591866,53495918657,3.54,782130.5085,19321.38085,19.32138085,53495918.66,106991837.3,,
179,Armenia,ARM,2772323,2027,3.54,51.42099753,51420997535,3.54,783142.0904,18547.98216,18.54798216,51420997.53,102841995.1,,
180,Armenia,ARM,2775109,2026,3.54,49.42655541,49426555406,3.54,783929.096,17810.67173,17.81067173,49426555.41,98853110.81,,
181,Armenia,ARM,2777003,2025,3.54,47.50947077,47509470769,3.54,784464.1243,17108.18129,17.10818129,47509470.77,95018941.54,,
182,Armenia,ARM,2777970,2023,3.54,43.22404005,43224040049,3.54,784737.2881,15559.57769,15.55957769,43224040.05,86448080.1,,
183,Armenia,ARM,2777979,2024,3.54,45.31612591,45316125907,3.54,784739.8305,16312.62364,16.31262364,45316125.91,90632251.81,,
184,Armenia,ARM,2780469,2022,3.54,41.22853842,41228538423,3.54,785443.2203,14827.90796,14.82790796,41228538.42,82457076.85,,
185,Armenia,ARM,2790974,2021,3.54,39.32516208,39325162077,3.54,788410.7345,14090.12125,14.09012125,39325162.08,78650324.15,,
186,Armenia,ARM,2805608,2020,3.54,37.50965791,37509657909,3.54,792544.6328,13369.52914,13.36952914,37509657.91,75019315.82,,
187,Aruba,ABW,100194,2041,2.89,6.166554156,6166554156,2.89,34669.20415,61546.14204,61.54614204,6166554.156,12333108.31,,
188,Aruba,ABW,100745,2040,2.89,6.049550433,6049550433,2.89,34859.86159,60048.14564,60.04814564,6049550.433,12099100.87,,
189,Aruba,ABW,101272,2039,2.89,5.936621352,5936621352,2.89,35042.21453,58620.55999,58.62055999,5936621.352,11873242.7,,
190,Aruba,ABW,101769,2038,2.89,5.825800357,5825800357,2.89,35214.18685,57245.33362,57.24533362,5825800.357,11651600.71,,
191,Aruba,ABW,102241,2037,2.89,5.717048097,5717048097,2.89,35377.50865,55917.37264,55.91737264,5717048.097,11434096.19,,
192,Aruba,ABW,102689,2036,2.89,5.610325953,5610325953,2.89,35532.52595,54634.14731,54.63414731,5610325.953,11220651.91,,
